ticker;data_com;data_pagamento;valor_por_cota
TRXF11;30/11/2020;14/12/2020;0.7
VISC11;30/11/2020;14/12/2020;0.45
XPLG11;30/11/2020;14/12/2020;0.58
XPML11;16/12/2020;23/12/2020;0.45
BRCO11;30/12/2020;08/01/2021;0.55
PVBI11;30/12/2020;08/01/2021;0.47
TGAR11;30/12/2020;11/01/2021;1.36
FATN11;07/01/2021;15/01/2021;0.59
GARE11;30/12/2020;15/01/2021;0.0750473
HGLG11;30/12/2020;15/01/2021;2.63
HGRU11;30/12/2020;15/01/2021;0.72
KNRI11;30/12/2020;15/01/2021;0.65
PMLL11;30/12/2020;15/01/2021;0.62
TRXF11;30/12/2020;15/01/2021;0.7
VISC11;30/12/2020;15/01/2021;0.55
XPLG11;30/12/2020;15/01/2021;0.6
BTLG11;15/01/2021;22/01/2021;0.6
XPML11;15/01/2021;22/01/2021;0.678304
BRCO11;29/01/2021;05/02/2021;0.55
PVBI11;29/01/2021;05/02/2021;0.491035
TGAR11;29/01/2021;08/02/2021;1.2
FATN11;04/02/2021;12/02/2021;0.62
GARE11;29/01/2021;12/02/2021;0.081
HGLG11;29/01/2021;12/02/2021;0.78
HGRU11;29/01/2021;12/02/2021;0.68
KNRI11;29/01/2021;12/02/2021;0.69
PMLL11;29/01/2021;12/02/2021;0.62
TRXF11;29/01/2021;12/02/2021;0.7
VISC11;29/01/2021;12/02/2021;0.6
XPLG11;29/01/2021;12/02/2021;0.58
BTLG11;12/02/2021;25/02/2021;0.6
XPML11;18/02/2021;25/02/2021;0.35
BRCO11;26/02/2021;05/03/2021;0.54
PVBI11;26/02/2021;05/03/2021;0.5
TGAR11;26/02/2021;08/03/2021;1.15
FATN11;04/03/2021;12/03/2021;0.66
GARE11;26/02/2021;12/03/2021;0.0844
HGLG11;26/02/2021;12/03/2021;0.78
HGRU11;26/02/2021;12/03/2021;0.68
KNRI11;26/02/2021;12/03/2021;0.69
PMLL11;26/02/2021;12/03/2021;0.6
TRXF11;26/02/2021;12/03/2021;0.7
VISC11;26/02/2021;12/03/2021;0.55
XPLG11;26/02/2021;12/03/2021;0.58
BTLG11;15/03/2021;22/03/2021;0.6
XPML11;18/03/2021;25/03/2021;0.25
BRCO11;31/03/2021;08/04/2021;0.54
PVBI11;31/03/2021;08/04/2021;0.5
TGAR11;31/03/2021;09/04/2021;1.3
FATN11;07/04/2021;15/04/2021;0.66
GARE11;31/03/2021;15/04/2021;0.084
HGLG11;31/03/2021;15/04/2021;0.78
HGRU11;31/03/2021;15/04/2021;0.68
KNRI11;31/03/2021;15/04/2021;0.69
PMLL11;31/03/2021;15/04/2021;0.45
TRXF11;31/03/2021;15/04/2021;0.7
VISC11;31/03/2021;15/04/2021;0.18
XPLG11;31/03/2021;15/04/2021;0.59
BTLG11;15/04/2021;23/04/2021;0.63
XPML11;15/04/2021;23/04/2021;0.15
BRCO11;30/04/2021;07/05/2021;0.54
PVBI11;30/04/2021;07/05/2021;0.5
TGAR11;30/04/2021;10/05/2021;1.26
FATN11;06/05/2021;14/05/2021;0.67
GARE11;30/04/2021;14/05/2021;0.084
HGLG11;30/04/2021;14/05/2021;0.78
HGRU11;30/04/2021;14/05/2021;0.68
KNRI11;30/04/2021;14/05/2021;0.69
PMLL11;30/04/2021;14/05/2021;0.4
TRXF11;30/04/2021;14/05/2021;0.7
VISC11;30/04/2021;14/05/2021;0.25
XPLG11;30/04/2021;14/05/2021;0.6
BTLG11;14/05/2021;25/05/2021;0.7
XPML11;18/05/2021;25/05/2021;0.3
BRCO11;31/05/2021;08/06/2021;0.54
PVBI11;31/05/2021;08/06/2021;0.54
TGAR11;31/05/2021;09/06/2021;1.16
FATN11;07/06/2021;15/06/2021;0.67
GARE11;31/05/2021;15/06/2021;0.084
HGLG11;31/05/2021;15/06/2021;1
HGRU11;31/05/2021;15/06/2021;0.7
PMLL11;31/05/2021;15/06/2021;0.45
TRXF11;31/05/2021;15/06/2021;0.7
VISC11;31/05/2021;15/06/2021;0.35
XPLG11;31/05/2021;15/06/2021;0.61
KNRI11;31/05/2021;16/06/2021;0.69
BTLG11;15/06/2021;25/06/2021;0.7
XPML11;18/06/2021;25/06/2021;0.4
BRCO11;30/06/2021;07/07/2021;0.54
PVBI11;30/06/2021;07/07/2021;0.56
TGAR11;30/06/2021;08/07/2021;1.11
FATN11;06/07/2021;14/07/2021;0.67
KNRI11;30/06/2021;14/07/2021;0.69
XPLG11;30/06/2021;14/07/2021;0.61
GARE11;30/06/2021;15/07/2021;0.084
HGLG11;30/06/2021;15/07/2021;2.2
HGRU11;30/06/2021;15/07/2021;0.9
PMLL11;30/06/2021;15/07/2021;0.5
TRXF11;30/06/2021;15/07/2021;0.7
VISC11;30/06/2021;15/07/2021;0.42
BTLG11;15/07/2021;23/07/2021;0.7
XPML11;16/07/2021;23/07/2021;0.52
BRCO11;30/07/2021;06/08/2021;0.57
PVBI11;30/07/2021;06/08/2021;0.59
TGAR11;30/07/2021;09/08/2021;1.08
BTLG11;06/08/2021;13/08/2021;0.74
FATN11;05/08/2021;13/08/2021;0.67
GARE11;30/07/2021;13/08/2021;0.084
HGLG11;30/07/2021;13/08/2021;1.1
HGRU11;30/07/2021;13/08/2021;0.72
KNRI11;30/07/2021;13/08/2021;0.69
PMLL11;30/07/2021;13/08/2021;0.53
TRXF11;30/07/2021;13/08/2021;0.7
VISC11;30/07/2021;13/08/2021;0.5
XPLG11;30/07/2021;13/08/2021;0.62
XPML11;18/08/2021;25/08/2021;0.6
BRCO11;31/08/2021;08/09/2021;0.57
PVBI11;31/08/2021;08/09/2021;0.56
TGAR11;31/08/2021;09/09/2021;1.1
FATN11;06/09/2021;15/09/2021;0.67
GARE11;31/08/2021;15/09/2021;0.084
HGLG11;31/08/2021;15/09/2021;1.1
HGRU11;31/08/2021;15/09/2021;0.72
KNRI11;31/08/2021;15/09/2021;0.73
PMLL11;31/08/2021;15/09/2021;0.55
TRXF11;31/08/2021;15/09/2021;0.7
VISC11;31/08/2021;15/09/2021;0.55
XPLG11;31/08/2021;15/09/2021;0.62
BTLG11;15/09/2021;24/09/2021;0.72
XPML11;17/09/2021;24/09/2021;0.57
BRCO11;30/09/2021;07/10/2021;0.57
PVBI11;30/09/2021;07/10/2021;0.56
TGAR11;30/09/2021;08/10/2021;1.11
FATN11;05/10/2021;15/10/2021;0.75
GARE11;30/09/2021;15/10/2021;0.084
HGLG11;30/09/2021;15/10/2021;1.1
HGRU11;30/09/2021;15/10/2021;0.72
KNRI11;30/09/2021;15/10/2021;0.77
PMLL11;30/09/2021;15/10/2021;0.57
TRXF11;30/09/2021;15/10/2021;0.72
VISC11;30/09/2021;15/10/2021;0.58
XPLG11;30/09/2021;15/10/2021;0.62
BTLG11;15/10/2021;25/10/2021;0.72
XPML11;18/10/2021;25/10/2021;0.57
BRCO11;29/10/2021;08/11/2021;0.57
PVBI11;29/10/2021;08/11/2021;0.56
TGAR11;29/10/2021;09/11/2021;1.2
FATN11;05/11/2021;16/11/2021;0.74
GARE11;29/10/2021;16/11/2021;0.084
HGLG11;29/10/2021;16/11/2021;1.1
HGRU11;29/10/2021;16/11/2021;0.72
KNRI11;29/10/2021;16/11/2021;0.77
PMLL11;29/10/2021;16/11/2021;0.6
TRXF11;29/10/2021;16/11/2021;0.77
VISC11;29/10/2021;16/11/2021;0.62
XPLG11;29/10/2021;16/11/2021;0.64
BTLG11;12/11/2021;25/11/2021;0.72
XPML11;18/11/2021;25/11/2021;0.5
BRCO11;30/11/2021;07/12/2021;0.6
PVBI11;30/11/2021;07/12/2021;0.54
TGAR11;30/11/2021;08/12/2021;1.22
PVBI11;02/12/2021;09/12/2021;0.02
FATN11;06/12/2021;14/12/2021;0.71
GARE11;30/11/2021;14/12/2021;0.084
HGLG11;30/11/2021;14/12/2021;1.1
HGRU11;30/11/2021;14/12/2021;0.72
KNRI11;30/11/2021;14/12/2021;0.77
PMLL11;30/11/2021;14/12/2021;0.62
TRXF11;30/11/2021;14/12/2021;0.8
VISC11;30/11/2021;14/12/2021;0.61
